file,prefix,caption,root_class,field_count,enter_count,num_count,date_count,combo_count,check_count,tab_count,grid_count,total_controls
T7ROB.DFM,T7RO,RO-B,TEditForm1,4,0,0,0,3,1,0,0,20
T7ROC.DFM,T7RO,,TImageList,0,0,0,0,0,0,0,0,1
T7ROD.DFM,T7RO,RO-D,TEditForm1,20,11,4,1,3,1,0,0,48
T7ROE.DFM,T7RO,,TTASDGColTemplate,0,0,0,0,0,0,0,0,1
T7ROF.DFM,T7RO,,TImageList,0,0,0,0,0,0,0,0,1
T7ROG.DFM,T7RO,,TImageList,0,0,0,0,0,0,0,0,1
T7ROH.DFM,T7RO,,TImageList,0,0,0,0,0,0,0,0,1
T7ROI.DFM,T7RO,RO-I,TEditForm1,44,23,9,0,7,1,0,0,88
T7ROJA.DFM,T7RO,RO-J-A  Print Routings,TEditForm1,9,1,0,0,5,3,0,0,31
T7ROJB.DFM,T7RO,RO-J-B,TEditForm1,5,2,0,0,3,0,0,0,24
T7ROJC.DFM,T7RO,RO-J-C,TEditForm1,5,0,0,2,3,0,0,0,23
T7ROJD.DFM,T7RO,RO-J-D  Print Tools,TEditForm1,9,2,0,2,3,2,0,0,31
T7ROJE.DFM,T7RO,RO-J-C,TEditForm3,3,0,0,0,3,0,0,0,20
T7ROJF.DFM,T7RO,RO-J-F,TEditForm1,3,0,0,0,3,0,0,0,20
T7ROJG.DFM,T7RO,RO-J-G,TEditForm1,3,2,0,0,1,0,0,0,20
T7ROJH.DFM,T7RO,RO-J-H,TEditForm4,6,1,2,0,3,0,0,0,28
T7ROK.DFM,T7RO,,TImageList,0,0,0,0,0,0,0,0,1
T7ROL.DFM,T7RO,RO-L,TEditForm1,6,2,1,0,2,1,0,0,22
T7ROQ.DFM,T7RO,New Screen,TEditForm1,11,3,3,0,4,0,0,0,43
T7ROUTWO.DFM,T7RO,Select,TEditForm1,0,0,0,0,0,0,0,0,3
t7roacpy.DFM,T7RO,Copy Existing Routing,TEditForm1,5,1,0,0,2,0,0,0,13
t7rop.DFM,T7RO,RO-P  Update Routing Standard,TEditForm1,7,1,1,2,3,0,0,0,29
T7RTMVALID.DFM,T7RT,Select Report Format Name,TEditForm1,1,0,0,0,1,0,0,0,8
T7SAA.DFM,T7SA,SA-A,TEditForm1,39,7,0,4,19,9,0,0,84
T7SAM.DFM,T7SA,SA-M,TEditForm1,124,33,10,8,47,18,3,0,284
T7SAN.DFM,T7SA,SA-N,TEditForm4,103,22,3,8,40,22,3,0,229
T7SAO.DFM,T7SA,SA-O  Top N Sales Report,TEditForm1,35,4,1,6,12,12,0,0,76
T7SAP.DFM,T7SA,SA-P,TEditForm1,15,2,0,2,11,0,0,0,45
T7SAQ.DFM,T7SA,Actual Margin Report,TEditForm1,5,0,0,4,1,0,0,0,24
T7SCA.DFM,T7SC,SC-A Edit Serial Numbers,TEditForm1,16,2,6,3,5,0,0,0,51
T7SCB.DFM,T7SC,SC-B Assign Serial Control,TEditForm1,6,3,0,0,2,1,0,0,24
T7SCC.DFM,T7SC,SC-C,TEditForm1,8,0,0,0,5,3,0,0,30
T7SCC2.DFM,T7SC,SC-C Print Serial Availability,TEditForm1,8,0,0,0,7,1,1,0,34
T7SCE.DFM,T7SC,New Screen,TEditForm1,13,1,0,6,5,1,0,0,39
T7SCF.DFM,T7SC,SC-F  Serial Control Exceptions,TEditForm1,18,2,0,0,7,9,0,0,42
T7SCG.DFM,T7SC,,TImageList,0,0,0,0,0,0,0,0,1
