code,module,description,sources
PS-E,PS,System Manager Security,BKPSE
PS-F,PS,Enter Users/Passwords,BKPSF
RM-A,RM,Enter RMA Orders,ISSRA;ISSRA2;j6btsra
RM-C,RM,Receive RMA,ISRMD
RM-D,RM,Process RMA,ISRMD
RM-E,RM,RMA Reason For Return Maintenance,ISRME
RO-A,RO,View Routings,BKROA
RO-B,RO,Print Costed Routing,BKROB
RO-C,RO,Work Centers,BKROC
RO-D,RO,Enter Machines,BKROD
RO-E,RO,Enter Tools,BKROE
RO-F,RO,Enter QC Codes,BKROF
RO-G,RO,Enter Scrap Codes,BKROG
RO-H,RO,Enter Departments,BKROH
RO-I,RO,Enter Operation Templates,BKROI
RO-J-A,RO,Print Routings,BKROJA
RO-J-B,RO,Print Work Centers,BKROJB
RO-J-C,RO,Print Machines,BKROJC
RO-J-D,RO,Print Tools,BKROJD
RO-J-E,RO,Print QC Codes,BKROJE
RO-J-F,RO,Print Scrap Codes,BKROJF
RO-J-G,RO,Print Departments,BKROJG
RO-J-H,RO,Print Operation Templates,BKROJH
RO-K,RO,Enter Specs Templates,BKROK
RO-L,RO,Sequence Print Control,BKROL
SA-A,SA,Print Daily Sales/Bookings,BKSAA
SA-B,SA,Print Profit By Invoice,BKSAB
SA-C,SA,Print Customer Detail,BKSAC
SA-D,SA,Print Customer Summary,BKSAD
SA-E,SA,Print Customer Class Detail,BKSAE
SA-G,SA,Print Customer Class Summary,BKSAG
SA-H,SA,Print Salesperson Detail,BKSAH
SA-I,SA,Print Salesperson Summary,BKSAI
SA-J,SA,Print Inventory Detail,BKSAJ
SA-L,SA,Print Item Class Detail,BKSAL
SA-M,SA,Print User-Defined Detail,BKSAM;T6SAM
SA-N,SA,Print User-Defined Summary,BKSAN;T6SAN;j6cfsan
SA-O,SA,Top N Customers,J6HVRSAO;J6PETOPN;JMCRTOPN
SC-A,SC,Edit Serial Numbers,BKSCA
SC-B,SC,Assign Serial Control,BKSCB
SC-C,SC,Print Serial Availability,BKSCC
SC-D,SC,Serial Number History,BKINO;T6INO
SC-E,SC,Reconcile Inventory,BKSCE;ISSCE
SC-F,SC,Serial Control Exceptions,BKSCF;ISSCF
SC-G,SC,Sales Order Serial Control,BKSCG;ISSCG
SD-A,SD,Company Name and Address,BKADA
SD-B,SD,Work Orders Defaults,BKMDF
SD-C,SD,Purchase Orders Defaults,BKMDG
SD-C-A,SD,PO Receiver Defaults,BKMDGA
SD-E,SD,Scheduling Defaults,BKMDI
SD-F,SD,Data Collection Defaults,BKMDJ;ISSDF
SD-G,SD,Estimating Defaults,BKMDK
SD-I,SD,Routings Defaults,BKMDB
SD-M,SD,Sales Orders Defaults,BKADF;JKSDM
SD-N,SD,Sales Commissions Defaults,BKADG
SD-O,SD,Contact Manager Defaults,BKADH
SD-P,SD,Customer Defaults,BKSDP
