IS_JAVA_UID,IS_JAVA_PARAM_1,IS_JAVA_PARAM_2,IS_JAVA_PARAM_3,IS_JAVA_PARAM_4,IS_JAVA_PARAM_5,IS_JAVA_PARAM_6,IS_JAVA_PARAM_7,IS_JAVA_PARAM_8,IS_JAVA_PARAM_9,IS_JAVA_PARAM_10,IS_JAVA_PARAM_11,IS_JAVA_PARAM_12,IS_JAVA_PARAM_13,IS_JAVA_PARAM_14,IS_JAVA_PARAM_15,IS_JAVA_PARAM_16,IS_JAVA_PARAM_17,IS_JAVA_PARAM_18,IS_JAVA_PARAM_19,IS_JAVA_PARAM_20,IS_JAVA_PARAM_21,IS_JAVA_PARAM_22,IS_JAVA_PARAM_23,IS_JAVA_PARAM_24,IS_JAVA_PARAM_25,IS_JAVA_DATE
BSCHIBI094755A20221229,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-29
BSCHIBI095111A20220824,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-24
BSCHIBI095415A20221219,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-19
BSCHIBI100155A20230109,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-09
BSCHIBI100254A20220504,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-04
BSCHIBI100419A20231212,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-12
BSCHIBI100609A20220331,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-31
BSCHIBI100717A20221206,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-06
BSCHIBI101028A20230721,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-21
BSCHIBI101105A20230925,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25
BSCHIBI101109A20231108,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-08
BSCHIBI101131A20240408,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-08
BSCHIBI101337A20230220,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-20
BSCHIBI101709A20220623,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-23
BSCHIBI101931A20231121,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-21
BSCHIBI102741A20230825,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-25
BSCHIBI103715A20221025,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-25
BSCHIBI104008A20230413,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13
BSCHIBI104113A20220512,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-12
BSCHIBI104134A20220513,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-13
BSCHIBI104335A20230605,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-05
BSCHIBI104440A20220414,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-14
BSCHIBI105507A20220811,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-11
BSCHIBI105519A20230308,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-08
BSCHIBI105558A20231107,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-07
BSCHIBI105755A20240411,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-11
BSCHIBI105920A20220202,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-02
BSCHIBI105926A20220901,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-01
BSCHIBI110401A20211222,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22
BSCHIBI110756A20220624,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-24
BSCHIBI110920A20221109,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-09
BSCHIBI111118A20220121,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-21
BSCHIBI111713A20221201,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-01
BSCHIBI111942A20220419,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-19
BSCHIBI111953A20220505,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-05
BSCHIBI112144A20211108,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-08
BSCHIBI112513A20231016,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-16
BSCHIBI112645A20240418,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-18
BSCHIBI112652A20221114,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-14
BSCHIBI112710A20221220,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-20
BSCHIBI113135A20220602,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02
BSCHIBI113201A20230207,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-07
BSCHIBI113203A20211008,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-08
BSCHIBI113334A20220517,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-17
BSCHIBI113353A20210920,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-20
BSCHIBI113406A20220901,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-01
BSCHIBI113545A20221128,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-28
BSCHIBI113605A20231110,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-10
BSCHIBI113753A20220519,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-19
BSCHIBI113756A20230120,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-20
BSCHIBI113848A20220930,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-30
BSCHIBI113915A20231228,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-28
BSCHIBI114138A20230522,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-22
BSCHIBI114503A20220329,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-29
BSCHIBI114732A20220715,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-15
BSCHIBI115142A20240416,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-16
BSCHIBI115254A20240522,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-23
BSCHIBI120238P20240806,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-06
BSCHIBI120523P20230804,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-04
BSCHIBI120925P20230918,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-18
BSCHIBI121458P20220616,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-16
BSCHIBI121554P20230522,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-22
BSCHIBI121606P20220915,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-15
