LOC_BUFF_N,LOC_FILE_N,LOC_COMP_C,LOC_REC_SI,LOC_REC_TY,LOC_LOCATI,LOC_DESCRI
BKPISER,BKPISCNT,B,103,B,DEFAULT\,
BKPISER,BKPISCNT,B99,103,B,TESTDATA\,
BKPISER,BKPISER,B,103,B,DEFAULT\,
BKPISER,BKPISER,B99,103,B,TESTDATA\,
BKPOX,BKPOX,B,203,B,DEFAULT\,
BKPOX,BKPOX,B99,203,B,TESTDATA\,
BKPOX,BKPOXH,B,203,B,DEFAULT\,
BKPOX,BKPOXH,B99,203,B,TESTDATA\,
BKPRAGNT,BKPRAGNT,B,26,B,DEFAULT\,
BKPRAGNT,BKPRAGNT,B99,26,B,TESTDATA\,
BKPRCOMM,BKPRACOM,B,104,B,DEFAULT\,
BKPRCOMM,BKPRACOM,B99,104,B,TESTDATA\,
BKPRCOMM,BKPRCOMM,B,104,B,DEFAULT\,
BKPRCOMM,BKPRCOMM,B99,104,B,TESTDATA\,
BKPRCOMM,BKPRHCOM,B,104,B,DEFAULT\,
BKPRCOMM,BKPRHCOM,B99,104,B,TESTDATA\,
BKPRCURP,BKPRCURP,B,1122,B,DEFAULT\,
BKPRCURP,BKPRCURP,B99,1122,B,TESTDATA\,
BKPRCURP,BKPRHIST,B,1122,B,DEFAULT\,
BKPRCURP,BKPRHIST,B99,1122,B,TESTDATA\,
BKPRCURP,ISPRAHST,B,1122,B,DEFAULT\,
BKPRCURP,ISPRAHST,B99,1122,B,TESTDATA\,
BKPRFTAX,BKPRFTAX,B,671,B,DEFAULT\,
BKPRFTAX,BKPRFTAX,B99,671,B,TESTDATA\,
BKPRGLFL,BKPRGLFL,B,3908,B,DEFAULT\,
BKPRGLFL,BKPRGLFL,B99,3908,B,TESTDATA\,
BKPRINFO,BKPRINFO,B,4039,B,DEFAULT\,
BKPRINFO,BKPRINFO,B99,4039,B,TESTDATA\,
BKPRINFO,ISPRAINF,B,4039,B,DEFAULT\,
BKPRINFO,ISPRAINF,B99,4039,B,TESTDATA\,
BKPRMSTR,BKPRMSTR,B,3575,B,DEFAULT\,
BKPRMSTR,BKPRMSTR,B99,3575,B,TESTDATA\,
BKPRMSTR,BKPRW2,B,3575,B,DEFAULT\,
BKPRMSTR,BKPRW2,B99,3575,B,TESTDATA\,
BKPRMSTR,ISPRAMST,B,3575,B,DEFAULT\,
BKPRMSTR,ISPRAMST,B99,3575,B,TESTDATA\,
BKPRMSTR,ISPRMSTR,B,3575,B,DEFAULT\,
BKPRMSTR,ISPRMSTR,B99,3575,B,TESTDATA\,
BKPRSALE,BKPRBOOK,B,894,B,DEFAULT\,
BKPRSALE,BKPRBOOK,B99,894,B,TESTDATA\,
BKPRSALE,BKPRSALE,B,894,B,DEFAULT\,
BKPRSALE,BKPRSALE,B99,894,B,TESTDATA\,
BKPRSALE,ISPRSALE,B,894,B,DEFAULT\,
BKPRSALE,ISPRSALE,B99,894,B,TESTDATA\,
BKPRSTFL,BKPRSTFL,B,12,B,DEFAULT\,
BKPRSTFL,BKPRSTFL,B99,12,B,TESTDATA\,
BKPRTC,BKPRTC,B,44,B,DEFAULT\,
BKPRTC,BKPRTC,B99,44,B,TESTDATA\,
BKPRTCFG,BKPRTCFG,B,2039,B,DEFAULT\,
BKPRTCFG,BKPRTCFG,B99,2039,B,TESTDATA\,
BKPSUSER,BKPSUSER,B,71,B,DEFAULT\,
BKPSUSER,BKPSUSER,B99,71,B,TESTDATA\,
BKQCMSTR,BKQCMSTR,B,147,B,DEFAULT\,
BKQCMSTR,BKQCMSTR,B99,147,B,TESTDATA\,
BKQCMSTR,ISQCAMST,B,147,B,DEFAULT\,
BKQCMSTR,ISQCAMST,B99,147,B,TESTDATA\,
BKQCTRAN,BKQCTRAN,B,437,B,DEFAULT\,
BKQCTRAN,BKQCTRAN,B99,437,B,TESTDATA\,
BKQCTRAN,ISQCATRN,B,437,B,DEFAULT\,
BKQCTRAN,ISQCATRN,B99,437,B,TESTDATA\,
BKRFQ,BKAPQUOT,B,466,B,DEFAULT\,
BKRFQ,BKAPQUOT,B99,466,B,TESTDATA\,
BKRFQ,BKRFQ,B,466,B,DEFAULT\,
BKRFQ,BKRFQ,B99,466,B,TESTDATA\,
BKRFQ,ISAPHQT,B,466,B,DEFAULT\,
BKRFQ,ISAPHQT,B99,466,B,TESTDATA\,
BKRFQ,ISAPQTQT,B,466,B,DEFAULT\,
BKRFQ,ISAPQTQT,B99,466,B,TESTDATA\,
BKRFQ,ISARFQ,B,466,B,DEFAULT\,
BKRFQ,ISARFQ,B99,466,B,TESTDATA\,
BKRTCST,BKRTCST,B,149,B,DEFAULT\,
BKRTCST,BKRTCST,B99,149,B,TESTDATA\,
BKRTSPEC,BKRTSPEC,B,99,B,DEFAULT\,
BKRTSPEC,BKRTSPEC,B99,99,B,TESTDATA\,
BKRTTEMP,BKRTTEMP,B,97,B,DEFAULT\,
BKRTTEMP,BKRTTEMP,B99,97,B,TESTDATA\,
BKSAREPT,BKSAREPT,B,559,B,DEFAULT\,
BKSAREPT,BKSAREPT,B99,559,B,TESTDATA\,
BKSBMFG,BKSBMFG,B,223,B,DEFAULT\,
BKSBMFG,BKSBMFG,B99,223,B,TESTDATA\,
BKSBMFG,ISSBAMFG,B,223,B,DEFAULT\,
BKSBMFG,ISSBAMFG,B99,223,B,TESTDATA\,
BKSBPART,BKSBPART,B,105,B,DEFAULT\,
BKSBPART,BKSBPART,B99,105,B,TESTDATA\,
BKSBPART,ISALPART,B,105,B,DEFAULT\,
BKSBPART,ISALPART,B99,105,B,TESTDATA\,
BKSBPART,ISRLPART,B,105,B,DEFAULT\,
BKSBPART,ISRLPART,B99,105,B,TESTDATA\,
BKSBPART,ISSBAPRT,B,105,B,DEFAULT\,
BKSBPART,ISSBAPRT,B99,105,B,TESTDATA\,
BKSBVEND,BKSBVEND,B,125,B,DEFAULT\,
BKSBVEND,BKSBVEND,B99,125,B,TESTDATA\,
BKSBVEND,ISSBAVND,B,125,B,DEFAULT\,
BKSBVEND,ISSBAVND,B99,125,B,TESTDATA\,
BKSHORT,BKSHORT,B,110,B,DEFAULT\,
BKSHORT,BKSHORT,B99,110,B,TESTDATA\,
BKSLEVEL,BKSLEVEL,B,424,B,DEFAULT\,
BKSLEVEL,BKSLEVEL,B99,424,B,TESTDATA\,
BKSLMSTR,BKSLMSTR,B,47,B,DEFAULT\,
BKSLMSTR,BKSLMSTR,B99,47,B,TESTDATA\,
BKSOLOCK,BKSOLOCK,B,68,B,DEFAULT\,
BKSOLOCK,BKSOLOCK,B99,68,B,TESTDATA\,
BKSOX,BKSOX,B,269,B,DEFAULT\,
BKSOX,BKSOX,B99,269,B,TESTDATA\,
BKSOX,BKSOXH,B,269,B,DEFAULT\,
BKSOX,BKSOXH,B99,269,B,TESTDATA\,
BKSYAP,BKSYAP,B,50,B,DEFAULT\,
BKSYAP,BKSYAP,B99,50,B,TESTDATA\,
BKSYAR,BKSYAR,B,16,B,DEFAULT\,
BKSYAR,BKSYAR,B99,16,B,TESTDATA\,
BKSYCFG,BKSYCFG,B,4,B,DEFAULT\,
BKSYCFG,BKSYCFG,B99,4,B,TESTDATA\,
BKSYHELP,BKSYHELP,B,70,B,DEFAULT\,
BKSYHELP,BKSYHELP,B99,70,B,TESTDATA\,
BKSYLOG,BKSYLOG,B,259,B,DEFAULT\,
BKSYLOG,BKSYLOG,B99,259,B,TESTDATA\,
BKSYMSTR,BKSYMSTR,B,2331,B,DEFAULT\,
BKSYMSTR,BKSYMSTR,B99,2331,B,TESTDATA\,
BKSYPRTR,BKSYPRTR,B,64,B,DEFAULT\,Available printers
BKSYPRTR,BKSYPRTR,B99,64,B,TESTDATA\,Available printers
BKSYUSER,BKSYUSER,B,30,B,DEFAULT\,
BKSYUSER,BKSYUSER,B99,30,B,TESTDATA\,
BKUMSRTY,BKUMSRTY,B,25,B,DEFAULT\,
BKUMSRTY,BKUMSRTY,B99,25,B,TESTDATA\,
BKUPDATE,BKUPDATE,B,22,B,DEFAULT\,
BKUPDATE,BKUPDATE,B99,22,B,TESTDATA\,
BKYSMSTR,BKYSMSTR,B,1045,B,DEFAULT\,
BKYSMSTR,BKYSMSTR,B99,1045,B,TESTDATA\,
BOMCHG,BOMCHG,B,343,B,DEFAULT\,
