table,pk_segment,pk_field,field_type,field_size,flags
BKGLTEMP,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLTEMP,3,BKGL_TRN_DATE,3,4,DUP
BKGLTGJL,1,BKGL_GJL_TRANSN,2,8,DUP
BKGLTGJR,1,BKGL_GJ_TRANSDT,3,4,DUP
BKGLTMP,1,BKGL_TRN_GLACCT,0,10,DUP
BKGLTMP,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLTMP,3,BKGL_TRN_DATE,3,4,DUP
BKGLTMP2,1,BKGL_TRN_GLACCT,0,10,DUP
BKGLTMP2,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLTMP2,3,BKGL_TRN_DATE,3,4,DUP
BKGLTMP3,1,BKGL_TRN_GLACCT,0,10,DUP
BKGLTMP3,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLTMP3,3,BKGL_TRN_DATE,3,4,DUP
BKGLTRAN,1,BKGL_TRN_GLACCT,0,10,DUP
BKGLTRAN,2,BKGL_TRN_GLDPT,0,4,DUP
BKGLTRAN,3,BKGL_TRN_DATE,3,4,DUP
BKGLX,1,BKGLX_POSTDATE,3,4,DUP
BKGLXH,1,BKGLX_POSTDATE,3,4,DUP
BKICALTD,1,BKIC_ALTD_PCODE,0,15,DUP
BKICALTP,1,BKIC_ALTP_TYPE,0,1,DUP
BKICALTP,2,BKIC_ALTP_PCODE,0,15,DUP
BKICAMTR,1,BKIC_PROD_CODE,0,15,DUP
BKICAPMA,1,BKIC_PMAT_CUST,0,10,DUP
BKICDIM,1,BKICDIM_PARTNO,0,15,DUP
BKICELOC,1,BKIC_LOC_PROD,0,15,DUP
BKICEMTR,1,BKIC_PROD_CODE,0,15,DUP
BKICLOC,1,BKIC_LOC_PROD,0,15,DUP
BKICLOCM,1,BKIC_LOCM_CODE,0,10,DUP
BKICMFG,1,BKIC_MFG_PCODE,0,15,DUP
BKICMFG,2,BKIC_MFG_MANUF,0,25,DUP
BKICMSTR,1,BKIC_PROD_CODE,0,15,DUP
BKICPMAT,1,BKIC_PMAT_CUST,0,10,DUP
BKICREF,1,BKIC_REF_CUST,0,10,DUP
BKICREQ,1,BKIC_REQ_STATUS,0,1,DUP
BKICREQ,2,BKIC_REQ_BY,14,2,DUP
BKICREQ,3,BKIC_REQ_IDATE,3,4,DUP
BKICREQ,4,BKIC_REQ_NUM,2,8,DUP
BKICTAX,1,BKIC_TAX_STATE,0,2,DUP
BKICVAL,1,BKIC_VAL_CODE,0,15,DUP
BKICVAL,2,BKIC_VAL_DATE,3,4,DUP
BKISHTAX,1,BKIS_TAX_CODE,0,10,DUP
BKISHTAX,2,BKIS_TAX_TRFLAG,0,1,DUP
BKISHTAX,3,BKIS_TAX_DATE,3,4,DUP
BKISTAX,1,BKIS_TAX_CODE,0,10,DUP
BKISTAX,2,BKIS_TAX_TRFLAG,0,1,DUP
BKISTAX,3,BKIS_TAX_DATE,3,4,DUP
BKLOGON,1,BKLOGON_CODE,0,15,DUP
BKMATCST,1,BKMC_CODE,0,15,DUP
BKMATRIM,1,BKMA_TRIM_MACH,0,4,DUP
BKMRPFC,1,BKMRP_FC_PART,0,15,DUP
