table,pk_segment,pk_field,field_type,field_size,flags
BKMRPPO,1,BKMRP_PO_VEND,0,10,DUP
BKMRPSW,1,BKMRP_SW_PART,0,15,DUP
BKPCKIT,1,BKPC_KIT_LOT_^,0,15,DUP
BKPCPLOT,1,BKPC_PLOT_LOT_^,0,15,DUP
BKPIFROZ,1,BKPH_INFO_YEAR,0,4,DUP
BKPIFROZ,2,BKPH_INFO_QTR,0,2,DUP
BKPIFROZ,3,BKPH_INFO_LOC,0,10,DUP
BKPIFROZ,4,BKPH_INFO_PROD,0,15,DUP
BKPILCNT,1,BKPI_LOT_YEAR,0,4,DUP
BKPILCNT,2,BKPI_LOT_QTR,0,2,DUP
BKPILCNT,3,BKPI_LOT_LOC,0,10,DUP
BKPILCNT,4,BKPI_LOT_CODE,0,15,DUP
BKPILCNT,5,BKPI_LOT_LOT,0,15,DUP
BKPILOT,1,BKPI_LOT_YEAR,0,4,DUP
BKPILOT,2,BKPI_LOT_QTR,0,2,DUP
BKPILOT,3,BKPI_LOT_LOC,0,10,DUP
BKPILOT,4,BKPI_LOT_CODE,0,15,DUP
BKPILOT,5,BKPI_LOT_LOT,0,15,DUP
BKPIMSTR,1,BKPI_MSTR_YEAR,0,4,DUP
BKPIMSTR,2,BKPI_MSTR_QTR,0,2,DUP
BKPIPHYS,1,BKPH_YEAR,0,4,DUP
BKPIPHYS,2,BKPH_QTR,0,2,DUP
BKPIPHYS,3,BKPH_LOC,0,10,DUP
BKPIPHYS,4,BKPH_CODE,0,15,DUP
BKPISCNT,1,BKPI_SER_YEAR,0,4,DUP
BKPISCNT,2,BKPI_SER_QTR,0,2,DUP
BKPISCNT,3,BKPI_SER_LOC,0,10,DUP
BKPISCNT,4,BKPI_SER_CODE,0,15,DUP
BKPISCNT,5,BKPI_SER_SERIAL,0,25,DUP
BKPISER,1,BKPI_SER_YEAR,0,4,DUP
BKPISER,2,BKPI_SER_QTR,0,2,DUP
