code,module,description,rwn/run_modules,dfm_forms,help_title
GL-J,GL,Reconcile Check Register,BKGLJ,T7GLJ.DFM;T7GLJASK.DFM,Reconcile Check Register
GL-K,GL,Transfer Bank Account Funds,BKGLK,T7GLK.DFM,Transfer Bank Account Funds
GL-L,GL,Reconcile Credit Card Sta,,,Reconcile Credit Card Sta
GL-M,GL,Generate Recurring GJ Transactions,BKGLM,,
GL-N,GL,Print Custom Statements,BKGLN,T7GLN.DFM,Print Custom Financial Statements
GL-O,GL,Print/Post GL Batches,BKGLO;t6glo,T7GLO.DFM;T7GLOOB.DFM,Print Post General Ledger Baches
GL-P,GL,Edit GL Batch Entries,BKGLP,T7GLP.DFM,Edit General Ledger Batch Entries
GL-Q,GL,Reverse Batch Posting,BKGLQ,T7GLQ.DFM,Enter Payroll Checks
GL-R,GL,Business Status,ISBS,,Business Status
GL-S,GL,View GL Journal Notes,BKGLS,T7GLS.DFM,View Journal Notes
HH-A,HH,Scan Ship,,,Scan Ship
HH-B,HH,Print Bar Code Labels,,,Print Bar Code Labels
HH-C,HH,Issue Materials,,,Issue Materials
HH-D,HH,Enter Finished Production,,,Enter Finished Production
HH-E,HH,Enter Pi Tag Counts,,,Enter Pi Tag Counts
HH-F,HH,Enter Labor,,,Enter Labor
HH-G,HH,Receive Purchase Order,,,Receive Purchase Order
HH-H,HH,Enter Shipping Information,,,Enter Shipping Information
HH-I,HH,Paperless Shop Floor Tracking,,,Paperless Shop Floor Tracking
HH-J,HH,Print Work Order Label,,,Print Work Order Label
HH-K,HH,Transfer Inventory,,,Transfer Inventory
HH-M,HH,Issue Scrap Component,,,Issue Scrap Component
IM-A,IM,International Configuration,,,International Configuration
IM-B,IM,Enter Multiple Currencies,,,Enter Multiple Currencies
IM-C,IM,Enter Currenct Exchange Rates,,,Enter Currenct Exchange Rates
IM-D,IM,Enter Landed Cost Defaults,,,Enter Landed Cost Defaults
IM-E,IM,Enter Landed Cost Duty Codes,,,Enter Landed Cost Duty Codes
IM-F,IM,Enter Landed Cost Customs Fees,,,Enter Landed Cost Customs Fees
IN-A,IN,Inventory Inquiry,BKINA;lbkina.run;t6INA;t6INAC,T7INA.DFM;T7INAACDOC.DFM;T7INAALO.DFM;T7INACMP.DFM;T7INAFORECAST.DFM;T7INAPRC.DFM;T7INASPC.DFM;T7INAUDF.DFM;T7INAUSG.DFM;T7INAWIP.DFM;t7inaC.DFM;t7inaE.DFM,Inventory Inquiry
IN-B,IN,Enter Inventory,BKINB;ISTECH;t6INB;t6INBC,T7INB.DFM;T7INB2DB.DFM;T7INBCMP.DFM;T7INBECO.DFM;T7INBLNK.DFM;T7INBMFG.DFM;T7INBMRP.DFM;T7INBSPC.DFM;T7INBUDF.DFM;T7INBVND.DFM;t7INBE.DFM;t7inbc.DFM,Enter Inventory
IN-C,IN,Enter Inventory Adjustments,BKINC,T7INC.DFM,Enter Inventory Adjustments
IN-D,IN,Print Reorder Report,BKIND;T6IND,T7IND.DFM;T7INDPO.DFM,Print Reorder Report
IN-E,IN,Print Inventory Transactions,BKINE,T7INE.DFM,Print Inventory Transactions
IN-F,IN,Print Inventory Value,BKINF,T7INF.DFM,Print Inventory Value
IN-G,IN,Print Inventory Labels,BKING;T6ING,T7ING.DFM;T7INGimport.DFM,Print Inventory Labels
IN-H,IN,Print Inventory Listing,BKINH;t6inh,T7INH.DFM,Print Inventory Listing
IN-I,IN,Print Inventory General Info,BKINI,T7INI.DFM,Print Inventory General Information
IN-J,IN,Print Physical Check,BKINJ,T7INJ.DFM,Print Physical Check
IN-K,IN,IN-L-E     SM-J-,BKINK;ISSMJS,T7INK.DFM,Adjust Physical Levels
IN-L-A,IN,Enter Standard Costs,BKINLA;FIXSTD,T7INLA.DFM,Enter Standard Costs
IN-L-B,IN,Enter/Assign Locations,BKINLB,T7INLB.DFM,Enter Assign Locations
IN-L-C,IN,Enter Customer Cross-Reference,BKINLC,T7INLC.DFM,Enter Customer Cross Reference
IN-L-D,IN,Print Customer Cross-Reference,BKINLD,T7INLD.DFM,Print Customer Cross Reference
IN-L-E,IN,Update Material Standard Costs,BKINLE,T7INLE.DFM,Update Materoal Standard Costs
IN-L-F,IN,Enter Material Dimensions,BKINLF,T7INLF.DFM,Enter Material Dimensions
IN-L-G,IN,Print Material Dimensions,BKINLG,T7INLG.DFM,
IN-L-H,IN,Edit FIFO/LIFO Buckets,BKINLH,T7INLH.DFM,Edit Fifo Lifo Buckets
IN-L-I,IN,Change Inventory Costing Method,BKINLI,T7INLI.DFM,Change Costing Method
IN-L-J,IN,Transfer Inventory,BKINLJ;ISINLJ,T7INLJ.DFM,Transfer Inventory
IN-L-K,IN,Inventory Exceptions Report,BKINLK,T7INLK.DFM,Inventory Exception Report
IN-L-L,IN,BOM report,BKINLL,T7INLL.DFM,Incative Bom Component Report
IN-L-M,IN,Multi-Transfer Inventory,ISINLM;t6isinlm,T7INLM.DFM,Batch Location Transfer
IN-L-N,IN,Copy Item,ISINLN,T7INLN.DFM,Copy Item
IN-L-O,IN,Inventory utilites,BKACT;ISINLO;ISINLOA,T7INLO.DFM;T7INLOA.DFM,Inactive Inventory Utility
IN-L-P,IN,Multi-Co-Transfer Inventory,ISICT;T6ISICT,,
IN-L-Q,IN,Enter Inspection Test Procedure Codes,,,Enter Inspection Test Procedure Codes
IN-L-R,IN,Intercompany Inventory Transfer,,,Intercompany Inventory Transfer
IN-L-S,IN,Rebuild Stock Status,AUTOIND,T7INLS.DFM,Rebuild Stock Status
IN-L-T,IN,Reset Inventory Cycle Codes,ISINLT,T7INLT.DFM,Reset Cycle Code
IN-L-U,IN,Recal UOH From FIFO Layers,ISINLU,,Item Number Configurato
IN-L-V,IN,Archive Obsolete Inventory -,ISINLOA,T7INLV.DFM,
IN-M,IN,Summary Reorder Report,,,Summary Reorder Report
IN-M-C,IN,Global Price Change,BKINMC,,
IN-M-E,IN,Print Price Code Prices,BKINMI,,
IN-M-G,IN,Print Dicount Code Prices,BKINMI,,
IN-M-I,IN,Print Contract Prices,BKINMI,,
IN-N-A,IN,Print Month End Inventory Costing,BKINNA,T7INNA.DFM,Print Month End Inventory Costing
IN-N-B,IN,Print Shipments Costing,BKINNB,T7INNB.DFM,Print Shipments Costing
