file_id,field_id,index_num,part_num
11,32788,1,11
12,352,1,2
12,352,2,1
12,353,1,1
12,353,2,0
12,354,0,0
12,354,1,0
13,356,9,0
13,357,6,0
13,362,5,0
13,366,7,0
13,388,10,0
13,392,3,0
13,409,4,0
13,410,2,0
13,410,8,0
13,411,1,0
13,412,0,0
13,412,8,1
13,412,9,1
13,412,10,1
14,35,17,0
14,35,17,12
14,35,17,20
14,417,14,0
14,419,9,0
14,425,8,0
14,427,7,0
14,428,6,0
14,428,12,0
14,428,13,1
14,429,5,1
14,430,4,0
14,430,5,0
14,447,3,0
14,447,10,0
14,447,11,1
14,447,12,2
14,448,2,0
14,449,1,1
14,450,0,0
14,450,1,0
14,450,10,1
14,450,11,0
14,450,12,1
14,450,13,0
14,32789,1,13
15,451,4,0
15,452,3,0
15,452,5,1
15,453,2,1
15,454,2,0
15,455,6,1
15,461,0,1
15,461,5,0
15,462,0,0
15,462,1,0
15,462,6,0
16,463,4,0
16,464,3,0
16,464,5,1
16,465,2,1
16,466,2,0
16,467,6,1
16,473,0,1
16,473,5,0
16,474,0,0
16,474,1,0
16,474,6,0
16,653,11,1
17,12,2,2
17,20,4,2
17,477,2,1
17,477,4,0
17,478,1,0
17,478,2,2
17,478,5,1
17,479,2,0
17,479,3,0
17,479,5,0
17,480,0,0
17,629,4,1
18,483,1,2
18,483,2,1
18,484,1,1
18,484,2,0
18,485,0,0
18,485,1,0
18,1792,18,0
18,2048,18,0
18,2304,18,0
19,488,6,0
19,491,5,0
19,493,4,1
19,499,7,0
19,502,1,2
19,502,3,0
19,502,4,2
19,502,7,2
19,503,1,1
19,503,2,0
19,503,6,1
19,503,7,1
19,504,0,0
19,504,1,0
19,504,4,0
19,512,22,0
19,32788,1,14
20,13,8,1
20,505,0,0
20,506,1,0
20,513,2,0
20,514,6,0
20,518,7,0
20,523,3,0
20,536,5,0
20,553,4,0
20,566,8,0
20,568,9,0
20,573,10,0
21,579,1,2
21,579,2,1
21,580,1,1
21,580,2,0
21,581,0,0
21,581,1,0
22,583,9,0
22,584,6,0
22,589,5,0
22,593,7,0
22,615,10,0
22,619,3,0
22,636,4,0
22,637,2,0
22,637,8,0
22,638,1,0
22,639,0,0
22,639,8,1
22,639,9,1
22,639,10,1
22,32788,1,15
23,11,1,0
23,644,14,0
23,646,9,0
23,652,8,0
23,654,7,0
23,655,6,0
23,655,12,0
23,655,13,1
23,656,5,1
23,657,4,0
23,657,5,0
23,674,3,0
23,674,10,0
23,674,11,1
23,674,12,2
23,675,2,0
23,676,1,1
23,677,0,0
23,677,1,0
23,677,10,1
23,677,11,0
23,677,12,1
23,677,13,0
24,655,1,1
24,679,2,0
24,1065,4,1
24,1066,0,1
24,1066,3,0
24,1067,0,0
24,1067,1,0
24,1067,4,0
25,512,28,0
25,1024,25,0
25,1070,6,0
25,1073,5,0
25,1075,4,1
25,1081,7,0
25,1084,1,2
25,1084,3,0
25,1084,4,2
25,1084,7,2
25,1085,1,1
25,1085,2,0
25,1085,6,1
25,1085,7,1
25,1086,0,0
25,1086,1,0
25,1086,4,0
25,2048,28,0
25,3072,25,0
25,32788,1,17
26,16,0,0
26,1095,0,3
26,1096,0,2
26,1097,0,1
26,1098,0,0
27,1100,9,0
27,1101,6,0
27,1106,5,0
27,1110,7,0
27,1132,10,0
27,1136,3,0
27,1153,4,0
27,1154,2,0
27,1154,8,0
27,1155,1,0
27,1156,0,0
27,1156,8,1
27,1156,9,1
27,1156,10,1
28,256,31,0
28,1161,14,0
28,1163,9,0
28,1169,8,0
28,1171,7,0
28,1172,6,0
28,1172,12,0
28,1172,13,1
28,1173,5,1
28,1174,4,0
28,1174,5,0
28,1191,3,0
28,1191,10,0
28,1191,11,1
28,1191,12,2
28,1192,2,0
28,1193,1,1
28,1194,0,0
28,1194,1,0
28,1194,10,1
28,1194,11,0
28,1194,12,1
28,1194,13,0
28,1536,28,0
28,32786,1,19
29,17,5,1
29,1227,7,1
29,1235,6,0
29,1235,9,1
29,1236,8,1
29,1237,2,5
29,1237,5,1
29,1238,2,4
29,1238,4,0
29,1238,5,0
29,1239,2,3
29,1239,3,0
29,1239,7,0
29,1239,8,0
29,1239,9,0
29,1240,2,2
29,1241,2,1
29,1242,1,0
29,1242,2,0
29,1243,0,0
30,14,11,0
30,1245,9,0
30,1246,6,0
30,1251,5,0
30,1255,7,0
30,1277,10,0
30,1281,3,0
30,1298,4,0
30,1299,2,0
30,1299,8,0
30,1300,1,0
30,1301,0,0
30,1301,8,1
30,1301,9,1
30,1301,10,1
31,256,34,0
31,1306,14,0
31,1308,9,0
31,1314,8,0
31,1316,7,0
31,1317,6,0
31,1317,12,0
31,1317,13,1
31,1318,5,1
31,1319,4,0
31,1319,5,0
31,1336,3,0
31,1336,10,0
31,1336,11,1
31,1336,12,2
31,1337,2,0
31,1338,1,1
31,1339,0,0
31,1339,1,0
31,1339,10,1
31,1339,11,0
